protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
GBP2,GBP2,10777000,14420000,14842000,11694000,24269000,32201000,12003000,14206000,39733000,34671000,8171300,8588700,10599000,8563800,20080000,6145700,19535000,24509000,14161000,17351000,31198000,60342000
MINP1,MINPP1,915060,1391600,460110,729790,2015800,445210,2886900,696400,2235400,531840,369980,1105800,1009200,1461900,322700,753430,4229400,3521500,1225700,2072300,2859700,5215500
KPRA,PRPSAP1,5378500,6465400,10063000,12846000,16900000,10149000,21800000,6467000,11807000,3129400,4347400,8672900,4396100,2756000,13108000,2279600,10355000,19052000,7236700,9861700,11120000,14048000
ADAS,AGPS,7451500,12259000,6619000,4484900,5024200,14708000,9822200,5210500,10889000,12535000,3293600,6083900,3128900,1150400,7878300,2105800,23613000,27757000,4456200,15586000,6237600,23348000
CTL2,SLC44A2,7435700,10440000,5308300,6654000,9987400,17292000,7668000,3455200,8182000,3505200,1850700,3883400,5145200,5595700,11088000,2955500,3665200,9384600,8762200,6446000,6407300,15694000
LTBP4,LTBP4,504640,2355500,2299200,3654700,7172600,504680,4992700,3974300,7007000,461670,1442700,59588,218820,2038000,1090100,23053,1285100,622670,1559200,745210,1109800,1168900
PRDX4,PRDX4,54640000,73480000,81778000,103240000,166820000,164330000,329300000,153630000,163510000,195910000,87508000,75085000,34725000,47105000,164840000,59607000,151350000,122520000,90588000,66607000,130900000,139550000
NDUV1,NDUFV1,22317000,19917000,24668000,22002000,46057000,31773000,30698000,16684000,12587000,28746000,10275000,7480700,19065000,3860700,44229000,5760400,33277000,29307000,19979000,17350000,25587000,33215000
GELS,GSN,152250000,201780000,265110000,187710000,289720000,336610000,300810000,174120000,439390000,643640000,213490000,139010000,145150000,145890000,258390000,90488000,172960000,521100000,255570000,442660000,225910000,609280000
SIN3A,SIN3A,2603600,8864500,3797700,1857600,10627000,4069400,5980700,12328000,4109300,8905400,1429700,1692900,6863800,1022700,2258500,1465700,3469900,3288600,3771100,4872200,6652400,4719300
INVO,IVL,3072000,6388500,8325300,5883400,6141700,5540700,3667400,3302200,7172700,4661200,1750900,3943900,990900,1977900,4621400,2143700,3030000,5578900,6244300,36683000,8986100,13797000
AQR,AQR,1532400,8744300,2412500,1848900,3423700,4384200,4799900,1378100,2237900,1145500,703520,3585300,1013100,4664300,2123600,2917700,2902600,4049800,1387600,3492200,3210100,5339300
AP3M1,AP3M1,5074700,5909700,4837700,2707200,5744100,8424800,6068400,2096200,6090100,8239300,2118900,3012900,2366700,327880,6118500,2868200,11232000,12579000,5209200,5641400,6905300,19320000
RM01,MRPL1,4547600,4163100,3294600,2302500,4877200,3761800,7344400,9784700,5240400,2129600,866000,1662400,3057800,2959900,4502900,645590,4806600,6782900,1643800,2212400,2626300,5381000
GOSR1,GOSR1,8102600,10477000,3806400,8184700,7734400,5755900,7442400,15537000,8837300,7942900,3199300,5140400,2978700,798400,6015600,2478600,10080000,11625000,2300100,4713400,7173000,17899000
TCPG,CCT3,67621000,126270000,46307000,54113000,97588000,88126000,198970000,51158000,62384000,72223000,26876000,32052000,41643000,13390000,69607000,31370000,118940000,158180000,48919000,67257000,83205000,167140000
CAN1,CAPN1,111080000,121800000,56248000,40713000,92525000,82417000,148080000,45625000,83271000,90994000,22768000,32604000,27387000,15365000,77615000,30072000,111510000,139390000,64169000,80395000,92093000,82798000
COASY,COASY,13401000,10606000,10012000,8015700,9839200,23933000,21257000,4092100,12233000,12783000,4280100,5218700,5039300,1303700,7366300,3177500,17412000,18081000,8442400,10405000,7802700,24111000
AAKG1,PRKAG1,8044500,7194400,5090100,3204200,10781000,8304700,10871000,6595300,9195900,5468800,3509000,4991900,2864300,1145200,6755600,2783800,6967600,7983800,4860600,4651300,9427400,11199000
LASP1,LASP1,33322000,69569000,47510000,60733000,168460000,106350000,118550000,63242000,68928000,153900000,41858000,51363000,60275000,10572000,83116000,48476000,212950000,189950000,37677000,121310000,167130000,254090000
RANG,RANBP1,48913000,130800000,12142000,23638000,113820000,116670000,156570000,43082000,75035000,80411000,26654000,25281000,31153000,4581900,58791000,10052000,94757000,209110000,30854000,44387000,65212000,123090000
MYG1,MYG1,8409400,12079000,10959000,10970000,20496000,13115000,15578000,8970400,8665300,4073300,4280100,7900800,8509200,4437700,12815000,7647800,15102000,11589000,12815000,10634000,9659600,18867000
ZO1,TJP1,9637100,16877000,15958000,28842000,19059000,11520000,14277000,5459100,2833300,10511000,3730600,7424700,7878400,29862000,9945300,8228800,22587000,10476000,12310000,11902000,11018000,16965000
UFL1,UFL1,10845000,13452000,13985000,6001300,24067000,13797000,20422000,10906000,11340000,18856000,4822300,8685800,3646900,4580100,14921000,6851900,18073000,17903000,8784600,7956100,11014000,17169000
NUFP2,NUFIP2,6006500,13503000,3814500,10840000,12450000,8724500,8741300,4328800,6915900,2902900,5072900,2175500,3544800,14071000,1754600,2756600,10329000,4685000,10754000,3882700,7357000,17010000
DPYD,DPYD,8937000,7349400,10938000,7620600,9665500,8207000,11442000,7299900,25829000,21160000,5248900,4956800,8070900,1937500,10999000,3444500,11724000,9285100,9243400,11299000,8522200,28853000
RL21,RPL21,13977000,21515000,5698300,10721000,55910000,45159000,59043000,31693000,69084000,38060000,12448000,12341000,17038000,1218300,35547000,7762000,79817000,96268000,9993800,29273000,47162000,91553000
DOCK7,DOCK7,25814000,31889000,22262000,17809000,26359000,34571000,31752000,29642000,31419000,44909000,16588000,21479000,15755000,5131500,1306900,14892000,36993000,7406300,25247000,2231700,2116200,74541000
DNS2A,DNASE2,5657900,15692000,4431300,6845900,12571000,7668900,10472000,9148700,12827000,10111000,1973300,3055500,4976700,1626000,4943400,3344300,8834400,7271500,4204200,9803900,8356300,17505000
TBG1,TUBG1,5455900,28147000,4992300,12344000,21268000,15307000,19378000,8104700,8131700,8535900,3903300,5371800,4344100,3573500,15158000,4065500,23359000,28108000,7088800,9529400,13717000,21917000
PSDE,PSMD14,14326000,27187000,14785000,15946000,28205000,28761000,31981000,15502000,23119000,18900000,8235700,9637200,10666000,5404000,16400000,6858000,30897000,26512000,12718000,14368000,21116000,36102000
SUMF1,SUMF1,3659200,2503900,2147900,2329800,4945800,3224500,2710900,3255400,1708900,2441800,874250,1703500,1203000,373350,538890,922870,7537000,5146900,1750700,2023000,2043600,3804200
YKT6,YKT6,5999000,21300000,8374800,7349200,14563000,10106000,22974000,9729700,14500000,15665000,3840300,3838100,3681800,1563900,8533500,3208800,11417000,17383000,7856700,8997500,15272000,21185000
ZN207,ZNF207,4510500,7269600,5213800,9728800,14628000,17660000,11019000,5937500,9303100,8163200,4088100,2160700,3458400,1089000,6871800,1659500,15087000,16790000,4169600,8943600,9854600,11992000
2A5A,PPP2R5A,2409600,3207700,3744600,3715500,6396600,3413100,3500100,4768000,2271500,3177400,401670,4053900,1472100,787060,2127100,641240,2866800,2314700,2883000,2158900,1138100,5551500
ACL6A,ACTL6A,13216000,30304000,16120000,22916000,23869000,30222000,37191000,12308000,22017000,16724000,13568000,13823000,16380000,6680300,10465000,8376000,18871000,53849000,7218200,10085000,17979000,37959000
GLRX3,GLRX3,16533000,21070000,23955000,11896000,37633000,31284000,30078000,14707000,24862000,9369000,8254100,9206300,7317000,14351000,18058000,6701600,31493000,36754000,21110000,10438000,15923000,41584000
ERF3A,GSPT1,24614000,30000000,23682000,15341000,39679000,18691000,55007000,35949000,23102000,29340000,11332000,20361000,17472000,7767500,35459000,9496900,28475000,52929000,15879000,19503000,7181800,53311000
SC23B,SEC23B,11391000,10435000,10831000,7369400,16320000,25821000,20057000,13143000,18358000,11621000,6233500,14842000,7960600,35146000,15646000,11120000,10911000,12388000,30835000,13414000,13614000,56738000
CSN7B,COPS7B,2586800,5765900,1889300,3748000,3967100,3945700,3217600,2015800,4069500,4673600,1669800,1838100,2760000,843440,6604000,938770,4201200,13962000,2275000,3365900,4257100,9394100
AFG32,AFG3L2,3913000,10461000,6384600,2622700,6568300,8028700,11925000,3244600,8153600,4556600,3904000,3312000,3271800,1223300,6413200,2532900,5609500,7019700,3881700,6587000,8139200,7983200
SVIL,SVIL,4019600,4739000,4316400,4862900,10303000,4372200,3606700,6561900,4435000,3629000,1834600,2605100,3249200,4811800,3713400,683360,5277400,4213800,4037500,5616700,2733400,1949400
RL7A,RPL7A,15955000,34810000,14331000,21916000,70507000,72554000,51174000,46120000,99617000,60346000,16668000,11698000,32680000,5548600,59400000,8752900,79235000,138330000,15688000,43032000,60865000,102010000
PNPH,PNP,48424000,51818000,63742000,69423000,103520000,60250000,32504000,45553000,86266000,94158000,33204000,41949000,45552000,49275000,71268000,35285000,229520000,116190000,40004000,36081000,72078000,114160000
HS90A,HSP90AA1,96191000,398360000,142300000,172070000,314380000,272020000,505660000,120250000,214600000,193270000,90035000,80590000,135440000,81058000,157310000,90231000,446450000,459030000,119520000,198650000,218200000,278300000
ABI1,ABI1,11612000,9222700,7774700,7989400,28692000,28089000,17724000,13118000,15639000,10820000,4508800,7149700,8303700,7127600,8995100,9350000,19259000,20698000,7615400,12108000,15287000,22934000
BGLR,GUSB,17076000,13640000,25849000,11974000,24414000,33735000,39105000,14310000,33765000,47253000,9821800,13622000,14349000,10062000,25602000,23000000,49194000,47737000,20522000,44530000,26324000,37723000
GTPB1,GTPBP1,3160100,7504800,3311700,10110000,7660200,7751100,16674000,3404600,4514500,5691200,1790000,3051600,9121100,1490800,8207200,6342600,6114600,5891900,4030700,4959700,6537300,13704000
ARC1B,ARPC1B,47853000,68191000,55375000,48181000,132620000,117260000,53716000,92951000,147900000,139920000,26761000,54135000,44527000,43315000,117340000,38579000,160100000,130100000,93380000,110490000,156150000,117500000
SPHM,SGSH,10093000,15442000,9101600,13496000,11255000,10913000,13364000,12074000,10416000,8033600,6387500,8209400,6289000,4847200,7755200,4221800,17713000,9429400,10710000,8324600,6865500,21703000
IF2G,EIF2S3,14965000,25189000,19552000,22105000,59973000,36957000,43612000,22062000,36343000,28937000,11722000,14943000,12040000,10950000,20637000,11880000,40867000,38230000,17700000,18939000,28791000,42253000
PCOC1,PCOLCE,5088400,57412000,42804000,37875000,46653000,50036000,25852000,104540000,34753000,44883000,34913000,2209200000,1316200,7283700,12027000,5863800,17519000,18613000,24553000,6834000,29994000,19796000
BIG2,ARFGEF2,4105600,2712500,2913200,5586500,5397900,2961400,4133300,3834400,5555400,1612200,1262900,1977400,1146800,3126600,2552000,2174200,3143000,4484300,4250800,2752100,3551800,5699200
CCHL,HCCS,3617200,9884900,3301600,3244200,7573300,8165400,11827000,2306700,4912100,5527800,1619200,4054800,3436800,676500,4446100,1882500,6859100,7198600,3793300,5773400,7334800,10785000
FEN1,FEN1,11959000,37916000,10205000,18206000,20801000,26355000,51234000,7450400,14911000,10153000,1656400,5321700,4731800,2545500,10453000,5057200,28818000,59388000,7498400,24861000,24277000,52269000
PPIE,PPIE,6136800,17027000,3169700,7315100,6637000,5686500,8713000,3353600,1805600,1770200,1754400,4652000,2407200,1570700,7624100,2629400,9151300,11806000,3762100,5213100,2039100,2530900
TXD12,TXNDC12,18913000,17173000,13887000,14943000,33820000,27061000,22963000,17633000,36779000,17385000,7935000,11033000,7154900,2911100,14822000,6840300,26590000,29194000,9882300,15061000,19059000,23118000
FKB11,FKBP11,15572000,30342000,26253000,19913000,34974000,36550000,41669000,51454000,70171000,33973000,10872000,21651000,3252900,8083000,34580000,18164000,48760000,15660000,15336000,13155000,20264000,37755000
CACP,CRAT,4260800,2631100,2933600,1584600,920400,3787900,1122300,2128400,12927000,3703600,809650,1441000,3309300,337090,3835400,1281100,4465000,10116000,2877500,6236900,4420400,11988000
KYNU,KYNU,1849100,5955300,17682000,7687300,7790600,28000000,7881700,3449900,7068700,3572900,14479000,5507300,3890100,4226100,5198700,24292000,5004700,4384700,3366000,6403400,11299000,11372000
METK2,MAT2A,27079000,55796000,17748000,30527000,56469000,50831000,42216000,23680000,25037000,25450000,10021000,21566000,24151000,10893000,28798000,10337000,62830000,59482000,22828000,15380000,40322000,60141000
CLIC6,CLIC6,33149000,21374000,9745400,9342100,12331000,8331800,21475000,7334100,14005000,11616000,4267700,35705000,16008000,4624600,7086200,9882100,3840200,7991500,6632900,3235900,17699000,26146000
NDUAC,NDUFA12,6865600,8726900,6821700,6314700,15124000,8707000,15527000,13163000,6334000,7303600,4193700,2838300,7484900,1401400,8552100,4139400,12954000,7245700,6061500,7808500,10641000,24442000
MEP50,WDR77,5178500,5461800,6422500,6542200,14632000,13817000,24431000,4513700,10734000,6502700,3751600,3286300,4426400,1376200,8832700,4035100,18916000,19001000,6021600,7590300,5039700,11546000
FIP1,FIP1L1,4935100,14756000,6228500,3689500,10151000,19053000,27879000,6778600,11099000,10095000,4391800,4737900,6007000,575630,7289000,4018400,12506000,17330000,6452400,9967600,11361000,22350000
EMC1,EMC1,6856100,11492000,8692400,10324000,35390000,16915000,18852000,10597000,17783000,14724000,3583400,7689400,5667100,5010200,11992000,5690300,19092000,20777000,7633200,13037000,13172000,17537000
AGM1,PGM3,10356000,15424000,12369000,12379000,14133000,23498000,10824000,16661000,20999000,27174000,8793400,11030000,5960900,2182300,13853000,4142900,46177000,48397000,7830900,9868400,18137000,33653000
CAB39,CAB39,7470500,11623000,8955400,7438100,7203800,5518400,11405000,7850800,10516000,13265000,3735700,4561200,5570300,4006300,9500800,5170800,14732000,26133000,6254800,6529500,15216000,25419000
DDX17,DDX17,38295000,70686000,32088000,49892000,131090000,85657000,87241000,45525000,32139000,47502000,17357000,30865000,50101000,11588000,52859000,20066000,85357000,105450000,39973000,55580000,68311000,124520000
PPIF,PPIF,35412000,61382000,34508000,16615000,83073000,57035000,55240000,31588000,44260000,24665000,14590000,28968000,14364000,6072500,40871000,8354500,59808000,63634000,20426000,41219000,48352000,98851000
MOV10,MOV10,2931300,7177400,2219900,4290700,7709900,12909000,7994600,2480400,6347100,2331100,3726900,1833000,1723900,1887800,1903500,1463900,6520500,11085000,938330,4493000,4110700,5773800
HERC4,HERC4,6177600,13950000,6986400,5147000,14209000,5865300,8382200,15425000,7148400,6479900,6971800,2766100,2350600,2095700,7735900,2874200,20590000,14826000,6069100,5089300,7098300,12405000
CAH2,CA2,99001000,70910000,88385000,77209000,59858000,240340000,61270000,81114000,83809000,195250000,120840000,141490000,196900000,114420000,89678000,255570000,77459000,55245000,79152000,119820000,98979000,107630000
RPIA,RPIA,3739100,1855600,2489700,1838400,2471200,3287300,11201000,2782500,3145200,1950700,984670,2384500,1795000,790560,2458000,1562400,4184900,6071200,2398500,4042500,2278700,6672800
RBX1,RBX1,3201800,6817400,3327500,5374900,13379000,10128000,11123000,1829900,3549600,4484300,1693700,2396400,3300000,2653100,4729200,2186300,9852300,9898400,3859600,4194700,7365200,15586000
IRF9,IRF9,2224100,879480,2004500,532450,3814000,4143300,2740300,4021000,3396000,2867600,1295700,2881000,2119600,446980,5810300,726910,3429000,5073400,2919600,4299500,7397100,4470100
HTR5A,HEATR5A,572100,43709000,8401900,61376000,16636000,12814000,27990000,3930700,11401000,303510,7734500,4959800,6318800,3226000,1002000,4563500,1872300,505570,9140300,12479000,11342000,19469000
NDUS4,NDUFS4,5875000,10455000,6566100,7834900,12182000,10186000,10500000,7450400,4677700,8520300,3952500,3917700,6200600,2158300,7260100,4425500,8609600,6042200,6814300,6620800,9348100,19088000
MYCB2,MYCBP2,1093900,5022600,449100,255900,2549700,1231500,606500,1473600,646190,242050,10987,1092700,945650,954760,595510,159430,1019700,89904000,74766,1343500,385350,1662600
TM109,TMEM109,41223000,30578000,29477000,36274000,90907000,56901000,39069000,37991000,71171000,42714000,13313000,17803000,19854000,20029000,38705000,18933000,36874000,46460000,39159000,31312000,40019000,61713000
IPO9,IPO9,11239000,19809000,2212200,14393000,20089000,10503000,20851000,5441400,5829000,1631000,2938000,6311100,2936000,3240500,10358000,1590200,20746000,43201000,3495300,11980000,10360000,19066000
EVI2B,EVI2B,1200100,2105000,3335000,2613100,4673900,4926200,6019000,3621400,5363400,7811000,1601700,3394500,1187500,2192100,4278300,3533400,4716600,6052400,3111600,5360900,7080200,7786200
MAP11,METAP1,20531000,37241000,17368000,15063000,65977000,27791000,24909000,7412100,13084000,25141000,4725000,9070900,10019000,2909400,24238000,4340800,30098000,71712000,9287400,32649000,11575000,48600000
LTOR5,LAMTOR5,4683800,9066700,8771100,3279300,6198000,3039100,8540600,1344400,3290800,6272300,3353200,3308100,4916800,3556900,6699400,2875700,13168000,15948000,3617200,16165000,10584000,6270000
